"%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s a fost adăugat cu succes în lista de favorite. Click <a href=""%2$s"">aici</a> pentru a continua cumpărăturile"
"%s's Wishlist","Lista de favorite a %s"
"* Required Fields","* Câmpuri obligatorii"
"Add All to Cart","Adaugă totul în coş"
"Add to Cart","Adaugă în coş"
"Add to Wishlist","Adaugă în lista de favorite"
"Added On","Adăugat în"
"Are You sure?","Sunteţi sigur?"
"Are you sure you want to remove this product from your wishlist?","Sigur vreţi să ştergeţi acest material din lista de favorite?"
"Are you sure you would like to remove this item from the wishlist?","Sigur vreţi să ştergeţi acest material din lista de favorite?"
"Back","Înapoi"
"Can\'t save description %s","Descrierea %s nu poate fi salvată"
"Cannot create wishlist","lista de favorite nu poate fi creată"
"Cannot specify product","Materialul nu poate fi specificat"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Bifaţi aici dacă doriţi să adăugaţi un link spre un feed rss cu lista de favorite."
"Comment","Comentariu"
"Email Sender","Expeditor email"
"Email Template","Şablon email"
"Email address can\'t be empty.","Adresa de email trebuie introdusă."
"Email addresses, separated by commas","Adresele de email, separate prin virgulă"
"Enabled","Activat(ă)"
"General Options","Opţiuni generale"
"Go to Wishlist","Către lista de favorite"
"Last Added Items","Ultimele materiale adăugate"
"Message","Mesaj"
"My Wishlist","Favorite"
"My Wishlist (%d item)","Favorite (%d materiale)"
"My Wishlist (%d items)","Favorite (%d materiale)"
"My Wishlist <small>(%d)</small>","Favorite <small>(%d)</small>"
"My Wishlist Link","Link Favorite"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Introduceţi adrese corecte de email, separate prin virgule. De exemplu ionescu@domeniu.com, radu@domeniu.com."
"Please, enter your comments...","Vă rugăm, scrieţi comentariile d-voastră..."
"Product","Material"
"RSS Feed","Feed RSS"
"RSS link to %s's wishlist","Link RSS către lista de favorite a %s"
"Remove Item","Şterge material"
"Share Wishlist","Publicare listă de favorite"
"Share Your Wishlist","Publicaţi lista d-voastră de favorite"
"Share options","Opţiuni de publicare"
"Sharing Information","Informaţii de publicare"
"There was an error while adding item to wishlist.","A apărut o eroare în timp ce adăugam materialul în listă."
"There was an error while adding item to wishlist: %s","A apărut o eroare în timp ce adăugam materialul în listă: %s"
"There was an error while deleting item from wishlist.","A apărut o eroare în timp ce ştergeam materialul din listă."
"There was an error while deleting item from wishlist: %s","A apărut o eroare în timp ce ştergeam materialul din listă: %s"
"This product(s) is currently out of stock:","Acest(e) material(e) nu se află în stoc momentan:"
"Update Wishlist","Actualizare listă de favorite"
"View Product","Vezi material"
"Wishlist","Favorite"
"Wishlist Section","Secţiunea listă de favorite"
"Wishlist Sharing","Publicare listă de favorite"
"Wishlist is empty now.","lista de favorite este acum goală."
"You have no items in your wishlist.","Nu aveţi niciun material în lista de favorite."
"You input not valid email address.","Adresa de email introdusă nu este corectă."
"Your Wishlist was successfully shared","Lista d-voastră de favorite a fost publicată cu succes"
"Your Wishlist has been shared.","Lista d-voastră de favorite a fost partajată cu succes."
